"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"ELOVL5",1.15463555798757e-08,0.268320166810286,0.477,0.455,0.000255520848982649,"10-N_Glut","ELOVL5"
"PRADC1",1.24809595853614e-08,0.268880769379969,0.274,0.226,0.000276203635624047,"10-N_Glut","PRADC1"
"BZW2",1.24974374826582e-08,0.278404962565955,0.472,0.451,0.000276568291491227,"10-N_Glut","BZW2"
"SGCB",1.25103530558801e-08,0.338068856319525,0.256,0.207,0.000276854113126626,"10-N_Glut","SGCB"
"ZNF652",1.26644147147187e-08,0.348773608260186,0.309,0.266,0.000280263497636724,"10-N_Glut","ZNF652"
"TOR2A",1.35748287691021e-08,0.25534058029831,0.333,0.288,0.00030041096066023,"10-N_Glut","TOR2A"
"ADNP",1.44187091127096e-08,0.256488215191322,0.469,0.439,0.000319086032664264,"10-N_Glut","ADNP"
"AFDN-DT1",1.44774683497026e-08,0.267026105933351,0.342,0.292,0.000320386374578919,"10-N_Glut","AFDN-DT"
"TAOK1",1.53238084890131e-08,0.310017566680804,0.378,0.341,0.000339115881861859,"10-N_Glut","TAOK1"
"ANKRD39",1.75247348703021e-08,0.273324470137067,0.274,0.225,0.000387822382679786,"10-N_Glut","ANKRD39"
"MTX2",1.7957309648689e-08,0.255308409992663,0.443,0.417,0.000397395262525488,"10-N_Glut","MTX2"
"DUSP12",1.93054288659081e-08,0.301104343082307,0.378,0.345,0.000427229140802547,"10-N_Glut","DUSP12"
"HECTD1",2.03384213644342e-08,0.254699337131864,0.377,0.334,0.00045008926479493,"10-N_Glut","HECTD1"
"BIN1",2.17197857552631e-08,0.288701009123897,0.398,0.361,0.000480658858763973,"10-N_Glut","BIN1"
"ATXN2",2.23161772291387e-08,0.25418257931066,0.373,0.333,0.00049385700208084,"10-N_Glut","ATXN2"
"CFL2",2.78087973147056e-08,0.253725974982255,0.475,0.453,0.000615408684574435,"10-N_Glut","CFL2"
"ZNF451",2.95739121476973e-08,0.297700625366846,0.276,0.229,0.000654470675828542,"10-N_Glut","ZNF451"
"PPP6C",3.98904337216716e-08,0.269283596027471,0.373,0.339,0.000882775298260593,"10-N_Glut","PPP6C"
"ZNF322",4.34762984795117e-08,0.259296874479883,0.357,0.319,0.000962130485351593,"10-N_Glut","ZNF322"
"KDM1A",4.73016161663822e-08,0.270812958722146,0.408,0.385,0.00104678476576204,"10-N_Glut","KDM1A"
"MAPKAPK5",4.9499582116664e-08,0.272221664048477,0.391,0.36,0.00109542575224178,"10-N_Glut","MAPKAPK5"
"UBE2W",4.9516160520029e-08,0.271397857449874,0.291,0.243,0.00109579263230824,"10-N_Glut","UBE2W"
"RBM5",5.07205737751463e-08,0.273443251618785,0.35,0.309,0.00112244629764399,"10-N_Glut","RBM5"
"CD46",5.41444731778732e-08,0.252904398116924,0.255,0.206,0.00119821719142633,"10-N_Glut","CD46"
"VPS53",5.514384209799e-08,0.291991555267599,0.251,0.204,0.00122033322562852,"10-N_Glut","VPS53"
"STRBP",5.57631252944287e-08,0.281068865655789,0.356,0.318,0.00123403796276571,"10-N_Glut","STRBP"
"SH3GLB1",5.58314497725482e-08,0.290599406261841,0.356,0.318,0.00123554998346649,"10-N_Glut","SH3GLB1"
"FUT8",5.98286797271548e-08,0.320389281097441,0.282,0.24,0.00132400868236193,"10-N_Glut","FUT8"
"GALT",6.40039781734579e-08,0.300138230889822,0.265,0.218,0.00141640803697862,"10-N_Glut","GALT"
"FAM192A",9.63470479481673e-08,0.25503479348258,0.471,0.454,0.00213216017109294,"10-N_Glut","FAM192A"
